id_operador,nombre_operador,estrellas,id_cliente,nombre_cliente
2,Ferruccio,x;x;x;0;0,280,Emiliano
4,Carlos,x;x;x;0;0,281,Bruno
3,Maria,0;0;0;0;0,282,Julieta
1,Henry,x;x;x;0;0,283,Renata
5,Ana,x;x;0;0;0,284,Francisco
4,Carlos,x;x;0;0;0,285,Gabriel
1,Henry,0;0;0;0;0,286,Mateo
3,Maria,x;x;x;x;0,287,Daniela
3,Maria,0;0;0;0;0,288,Agustin
4,Carlos,x;0;0;0;0,289,Victoria
4,Carlos,x;x;x;0;0,290,Pablo
3,Maria,x;0;0;0;0,291,Tomas
5,Ana,x;x;x;x;x,292,Enzo
2,Ferruccio,0;0;0;0;0,293,Laura
3,Maria,x;x;x;x;x,294,Martín
5,Ana,x;x;x;x;0,295,Emma
4,Carlos,x;x;x;x;0,296,Victoria
4,Carlos,0;0;0;0;0,297,Florencia
2,Ferruccio,x;x;0;0;0,298,Samuel
4,Carlos,x;x;0;0;0,299,Emiliano
